Characteristic,2022_Foreign_Born_Number,2022_Foreign_Born_Median_Weekly_Earnings,2022_Native_Born_Number,2022_Native_Born_Median_Weekly_Earnings,2022_Earnings_Foreign_Born_as_Percent_of_Native_Born,2023_Foreign_Born_Number,2023_Foreign_Born_Median_Weekly_Earnings,2023_Native_Born_Number,2023_Native_Born_Median_Weekly_Earnings,2023_Earnings_Foreign_Born_as_Percent_of_Native_Born
"Total, 16 years and over",21929.0,945.0,96940.0,1087.0,86.9,22675.0,987.0,98232.0,1140.0,86.6
Men,12974.0,950.0,52580.0,1185.0,80.2,13650.0,1000.0,53253.0,1238.0,84.9
Women,8955.0,861.0,44360.0,975.0,88.3,9025.0,899.0,44978.0,1025.0,87.7
AGE,,,,,,,,,,
16 to 24 years,1049.0,683.0,9677.0,792.0,86.2,718.0,697.0,10247.0,748.0,93.6
25 to 34 years,6922.0,925.0,22972.0,1048.0,88.3,4942.0,974.0,25257.0,1054.0,92.4
35 to 44 years,6349.0,1083.0,19459.0,1245.0,87.0,6909.0,1162.0,22518.0,1284.0,90.5
45 to 54 years,5730.0,1220.0,19567.0,1352.0,90.2,5839.0,1291.0,19772.0,1326.0,97.4
55 to 64 years,4761.0,1235.0,16809.0,1385.0,89.2,5251.0,1320.0,16126.0,1366.0,96.6
65 years and over,949.0,839.0,8493.0,1082.0,77.5,1077.0,842.0,4312.0,1131.0,74.4
RACE AND HISPANIC OR LATINO ETHNICITY,,,,,,,,,,
White non-Hispanic or Latino,3294.0,1318.0,67254.0,1162.0,113.4,3291.0,1316.0,67748.0,1224.0,107.7
Black non-Hispanic or Latino,1283.0,1014.0,13182.0,964.0,105.2,1389.0,1072.0,12893.0,1014.0,105.7
Asian non-Hispanic or Latino,5584.0,1452.0,2539.0,1908.0,76.1,5104.0,1464.0,2394.0,1908.0,76.7
Hispanic or Latino ethnicity,10408.0,794.0,15198.0,729.0,108.9,12176.0,947.0,12117.0,1132.0,83.6
EDUCATIONAL ATTAINMENT,,,,,,,,,,
"Total, 25 years and over",20881.0,968.0,87984.0,1107.0,87.4,21497.0,999.0,87984.0,1206.0,82.8
Less than a high school diploma,3582.0,626.0,11627.0,748.0,83.7,3754.0,653.0,11369.0,748.0,87.3
"High school graduates, no college",7157.0,757.0,21277.0,919.0,82.4,7467.0,780.0,21029.0,919.0,85.0
Some college or associate degree,5349.0,890.0,23499.0,1036.0,85.9,5970.0,926.0,23418.0,1027.0,90.1
Bachelorâ€™s degree and higher,8893.0,1581.0,40338.0,1637.0,96.6,9307.0,1647.0,41185.0,1602.0,102.8
